[camera]
# width=480
# height=640
# width=720
# height=1280
# width=1536
# height=1024
# width=640
# height=480
# fps=30

[detection]
tag_pixel_width = 100
widen_radius = 15

[arena]
nleds = 113#198
ring_r = 30 # in cm
origo_offset = [360, 360] # in pixels
cm_per_pixel = 0.1
baudrate = 115200#9600###921600#

[setup]
label = "One stationary sun"

    [[setup.suns]]
    link_factor = 0
    green = 255

[experiment]
datetime = 2023-12-11T13:09:00.652Z

ms,x,y,θ,start1,stop1
549,,,,1,1
648,,,,1,1
746,,,,1,1
846,,,,1,1
948,,,,1,1
1047,,,,1,1
1145,,,,1,1
1248,,,,1,1
1352,,,,1,1
1444,,,,1,1
1546,,,,1,1
1645,,,,1,1
1746,,,,1,1
1850,,,,1,1
1944,,,,1,1
2046,,,,1,1
2144,,,,1,1
2247,,,,1,1
2352,,,,1,1
2443,,,,1,1
2547,,,,1,1
2646,,,,1,1
2748,,,,1,1
2851,,,,1,1
2945,,,,1,1
3045,,,,1,1
3145,,,,1,1
3244,,,,1,1
3346,,,,1,1
3445,,,,1,1
3548,,,,1,1
3666,,,,1,1
3766,,,,1,1
3864,,,,1,1
3962,,,,1,1
4066,,,,1,1
4167,,,,1,1
4265,,,,1,1
4366,,,,1,1
4466,,,,1,1
4566,,,,1,1
4663,,,,1,1
4766,,,,1,1
4864,,,,1,1
4963,,,,1,1
5064,,,,1,1
5167,,,,1,1
5266,,,,1,1
5367,,,,1,1
5463,,,,1,1
5564,,,,1,1
5666,,,,1,1
5765,,,,1,1
5865,,,,1,1
5965,,,,1,1
6066,,,,1,1
6167,,,,1,1
6264,,,,1,1
6366,,,,1,1
6466,,,,1,1
6565,,,,1,1
6664,,,,1,1
6765,,,,1,1
6865,,,,1,1
6966,,,,1,1
7064,,,,1,1
7168,,,,1,1
7266,,,,1,1
7369,,,,1,1
7467,,,,1,1
7563,,,,1,1
7662,,,,1,1
7762,,,,1,1
7865,,,,1,1
7966,,,,1,1
8064,,,,1,1
8166,,,,1,1
8266,,,,1,1
8367,,,,1,1
8467,,,,1,1
8564,,,,1,1
8664,,,,1,1
8764,,,,1,1
8867,,,,1,1
8966,,,,1,1
9066,,,,1,1
9167,,,,1,1
9265,,,,1,1
9366,,,,1,1
9465,,,,1,1
9563,,,,1,1
9666,,,,1,1
9767,,,,1,1
9865,,,,1,1
9965,,,,1,1
10063,,,,1,1
10165,,,,1,1
10267,,,,1,1
10367,,,,1,1
10466,,,,1,1
10565,,,,1,1
10665,,,,1,1
10765,,,,1,1
10866,,,,1,1
10966,,,,1,1
11063,,,,1,1
11165,,,,1,1
11262,,,,1,1
