[camera]
# width=480
# height=640
# width=720
# height=1280
# width=1536
# height=1024
# width=640
# height=480
# fps=30

[detection]
tag_pixel_width = 100
widen_radius = 15

[arena]
nleds = 113#198
ring_r = 30 # in cm
origo_offset = [360, 360] # in pixels
cm_per_pixel = 0.1
baudrate = 115200#9600###921600#

[setup]
label = "One stationary sun"

    [[setup.suns]]
    link_factor = 0
    green = 255

[experiment]
datetime = 2023-12-11T13:06:53.918Z

ms,x,y,θ,start1,stop1
623,432.835838388075,656.3158745190614,-1.020369275804653,1,1
703,429.80767533153033,663.4477193849466,-1.3171375531938727,1,1
803,430.25401978150376,671.7317264493001,-1.5473107839709743,1,1
903,440.6189425240552,676.4281886992912,-1.8741108081345828,1,1
1003,447.47380310873757,678.3242987879063,-2.273899090522802,1,1
1103,448.0957366850025,679.590162906613,-2.548531733137349,1,1
1203,450.0462618524817,682.6984590153588,-2.875736910649165,1,1
1303,451.8304621965694,685.0683487563056,-3.095617317653517,1,1
1403,453.61359183762715,686.4868024239255,2.8690093422006653,1,1
1503,455.4810419324947,687.5598743353933,2.5641383721907136,1,1
1603,454.0490391327131,689.1503353117395,2.3065396796459003,1,1
1703,452.2723643002071,691.2105720130326,2.0695084278064955,1,1
1803,450.5026890809001,688.9510689702745,1.7155289742654352,1,1
1903,450.86205947792337,688.9205744994065,1.5739243029147767,1,1
2003,454.82407797381137,685.1084993317351,1.3078986193724011,1,1
2103,457.33019308985934,687.3795742350226,1.14624558043621,1,1
2203,461.26111389877747,693.7949275949569,1.6270819955020703,1,1
2303,474.49408026315,715.4481609966173,2.711264067403037,1,1
2403,,,,1,1
2501,,,,1,1
2604,,,,1,1
2704,,,,1,1
2804,,,,1,1
2905,,,,1,1
3005,,,,1,1
3107,,,,1,1
3207,,,,1,1
3309,,,,1,1
3408,,,,1,1
3509,,,,1,1
3611,,,,1,1
3711,,,,1,1
3812,,,,1,1
3913,,,,1,1
4013,,,,1,1
4116,,,,1,1
4217,,,,1,1
4315,,,,1,1
4419,,,,1,1
4518,,,,1,1
4617,,,,1,1
4714,,,,1,1
4820,,,,1,1
