[camera]
# width=480
# height=640
# width=720
# height=1280
# width=1536
# height=1024
# width=640
# height=480
# fps=30

[detection]
tag_pixel_width = 100
widen_radius = 15

[arena]
nleds = 113#198
ring_r = 30 # in cm
origo_offset = [360, 360] # in pixels
cm_per_pixel = 0.1
baudrate = 115200#9600###921600#

[setup]
label = "One stationary sun"

    [[setup.suns]]
    link_factor = 0
    green = 255

[experiment]
datetime = 2023-12-11T13:06:41.677Z

ms,x,y,θ,start1,stop1
490,,,,1,1
590,,,,1,1
693,,,,1,1
792,,,,1,1
892,,,,1,1
992,,,,1,1
1094,,,,1,1
1193,,,,1,1
1301,,,,1,1
1392,,,,1,1
1491,,,,1,1
1592,,,,1,1
1693,,,,1,1
1792,,,,1,1
1891,,,,1,1
1992,,,,1,1
2093,,,,1,1
2193,,,,1,1
2301,,,,1,1
2393,,,,1,1
2492,,,,1,1
2593,,,,1,1
2692,,,,1,1
2791,,,,1,1
2892,,,,1,1
2993,,,,1,1
3092,,,,1,1
3192,,,,1,1
3293,,,,1,1
3392,,,,1,1
3492,,,,1,1
3591,,,,1,1
3694,,,,1,1
3793,,,,1,1
3893,,,,1,1
3992,,,,1,1
4092,,,,1,1
4192,,,,1,1
4294,,,,1,1
4391,,,,1,1
4491,,,,1,1
4592,,,,1,1
4692,,,,1,1
4791,,,,1,1
4892,,,,1,1
4992,,,,1,1
