[camera]
# width=480
# height=640
# width=720
# height=1280
# width=1536
# height=1024
# width=640
# height=480
# fps=30

[detection]
tag_pixel_width = 100
widen_radius = 15

[arena]
nleds = 113#198
ring_r = 30 # in cm
origo_offset = [360, 360] # in pixels
cm_per_pixel = 0.1
baudrate = 115200#9600###921600#

[setup]
label = "One stationary sun"

    [[setup.suns]]
    link_factor = 0
    green = 255

[experiment]
datetime = 2023-12-09T22:00:39.049Z

ms,x,y,θ,start1,stop1
910,,,,1,1
915,,,,1,1
1013,,,,1,1
1094,,,,1,1
1195,,,,1,1
1293,,,,1,1
1395,,,,1,1
1494,,,,1,1
1598,,,,1,1
1702,,,,1,1
1794,,,,1,1
1895,,,,1,1
1994,,,,1,1
2092,,,,1,1
2194,,,,1,1
2308,,,,1,1
2403,,,,1,1
2494,,,,1,1
2598,,,,1,1
2693,,,,1,1
2791,,,,1,1
2890,,,,1,1
2993,,,,1,1
3095,,,,1,1
3201,,,,1,1
3289,,,,1,1
3403,,,,1,1
3489,,,,1,1
3593,,,,1,1
3691,,,,1,1
3794,,,,1,1
3898,,,,1,1
3990,,,,1,1
4091,,,,1,1
4202,,,,1,1
4296,,,,1,1
4393,,,,1,1
4505,,,,1,1
4595,,,,1,1
4697,,,,1,1
4800,,,,1,1
4889,,,,1,1
5001,,,,1,1
5095,,,,1,1
5187,,,,1,1
5286,,,,1,1
5387,,,,1,1
5490,,,,1,1
5587,,,,1,1
5696,,,,1,1
5789,,,,1,1
5898,,,,1,1
6075,389.0047187675187,697.6640779620387,-2.5828415740005504,1,1
6076,381.54404945081177,691.237160480105,-2.705603858748122,1,1
6160,378.1994678198299,678.914349025851,-2.5822396162805754,1,1
6259,374.8850387686686,677.0764728767498,-2.2485727030338083,1,1
6369,375.7630358204735,671.9049603242976,-2.022593434499451,1,1
6455,374.42897778976794,665.8788342028469,-1.7913004399816057,1,1
6559,373.37914643344476,660.847540428907,-1.6175614929330018,1,1
6656,374.0489435379952,659.334775211707,-1.4188599068299699,1,1
6756,375.41353695124945,659.0050277722155,-1.1582224536707288,1,1
6862,372.81297460592623,655.2326571910999,-0.9769403716883844,1,1
6958,370.4700483703979,652.900616182734,-0.7849424722431529,1,1
7056,373.8802016861219,650.6362217506424,-0.4023412532150814,1,1
7156,377.7701768062727,649.68382459578,-0.024597205114681775,1,1
7259,375.42530222999955,644.7622992156938,0.21333911501715913,1,1
7354,375.22551497520163,642.5530257609228,0.3295720873420983,1,1
7455,374.60622710113876,643.1567099691018,0.31962518067219087,1,1
7556,372.90209864271765,641.05720939266,0.11276615452082621,1,1
7651,370.09227515047326,637.5865644319605,-0.041028413006876305,1,1
7754,363.91712484432924,635.135336583939,-0.45142306101930935,1,1
7852,357.4266331060511,638.6120024602587,-1.0325953460463833,1,1
7952,360.18350494519217,641.7699543824974,-1.2132067578768126,1,1
8051,363.39489806970676,642.6225418804177,-1.3250752296314092,1,1
8150,361.2579946189999,643.7233830358448,-1.7198481047909713,1,1
8258,359.7092086137862,643.2267844260793,-2.0831491819295183,1,1
8350,359.06631842489566,642.0168847745913,-2.2561179623917536,1,1
8451,356.85521510181104,641.0596924597038,-2.5329991247860093,1,1
8551,355.86182372396286,640.2878199081044,-2.8516220652803863,1,1
8655,356.4550755928592,640.0327308509432,-3.136287987232128,1,1
8750,356.29408075557427,637.884627569899,3.0056649153846298,1,1
8852,356.3364233885111,637.0604913649013,3.013506867981302,1,1
8953,356.21264471168325,636.424146496969,3.0271299207190627,1,1
9052,355.030103408942,634.8874119244759,3.1333313392035524,1,1
9148,353.9048051364655,634.7672942211631,-2.991687000798676,1,1
9246,353.7375807786962,633.709256033916,-2.7481490511715547,1,1
9347,355.3851224133344,634.804609328505,-2.4890621818079843,1,1
9448,354.49749713683,635.2780990379389,-2.290441569162791,1,1
9547,353.49860722907727,634.3526969948414,-2.0696393088957743,1,1
9647,354.1407090914104,633.8066516682482,-1.6211452111217528,1,1
9756,355.25933809493904,631.3102328975854,-1.3143065794784443,1,1
9847,358.8678274554553,629.3942216099698,-0.9831071672536925,1,1
9958,363.69852398274764,626.7606915635714,-0.5575754447998738,1,1
10053,367.07448866345715,624.9643213666574,-0.2561273495220572,1,1
10149,370.0701712708102,623.7501584575327,0.05846526491657922,1,1
10248,369.8164952949315,622.3734666486783,0.2891043747807661,1,1
10347,370.1101060613587,621.2979108336144,0.5489438915356262,1,1
10446,372.7615272829339,620.5304773946476,0.7500451143761456,1,1
10542,372.8063819054961,619.6229700802646,0.9133003660764489,1,1
10643,371.86714913145653,620.0909692918458,0.891828848258474,1,1
10744,372.1011423263527,620.2149771939386,0.8488547032606206,1,1
10853,373.92090397845783,620.9911516353711,0.8530680922179935,1,1
10944,374.57786307130664,622.2906403002014,0.8559080651782178,1,1
11044,372.74362835644916,621.5609312792869,0.8508889607158202,1,1
11147,373.2736315378568,621.5391186961573,0.8484328877539827,1,1
11245,373.9213743179755,620.6692217119692,0.8420661286381981,1,1
11342,374.66186733490343,621.391351756907,0.7357350131033978,1,1
11451,373.12564853159125,621.3090351033604,0.5676253802240196,1,1
11542,372.61754724563707,620.6422022498333,0.4097326148279005,1,1
11642,370.9528201986728,620.3217794226154,0.1731387962664497,1,1
11743,364.5297411033773,618.3888279172445,-0.15403661461757412,1,1
11843,358.4282373840985,617.6367002849709,-0.4504908361623757,1,1
11939,356.5343722709026,616.9505847498899,-0.6180284241587939,1,1
12049,352.1053398674903,616.6295487047895,-0.845160318883963,1,1
12139,344.8804277537606,618.3093065843826,-1.1751499776014702,1,1
12242,339.66231727202387,620.017103747254,-1.4850548827988226,1,1
