[camera]
# width=480
# height=640
# width=720
# height=1280
# width=1536
# height=1024
# width=640
# height=480
# fps=30

[detection]
tag_pixel_width = 100
widen_radius = 15

[arena]
nleds = 113#198
ring_r = 30 # in cm
origo_offset = [360, 360] # in pixels
cm_per_pixel = 0.1
baudrate = 115200#9600###921600#

[setup]
label = "One stationary sun"

    [[setup.suns]]
    link_factor = 0
    green = 255

[experiment]
datetime = 2023-12-09T14:26:21.665Z

ms,x,y,θ,start1,stop1
1005,,,,1,1
1005,,,,1,1
1023,,,,1,1
1023,,,,1,1
1026,,,,1,1
1116,,,,1,1
1220,,,,1,1
1338,,,,1,1
1438,,,,1,1
1538,,,,1,1
1637,,,,1,1
1740,,,,1,1
1840,,,,1,1
1942,,,,1,1
2041,,,,1,1
2143,,,,1,1
2242,,,,1,1
2365,,,,1,1
2417,,,,1,1
2537,,,,1,1
2638,,,,1,1
2739,,,,1,1
2837,,,,1,1
2938,,,,1,1
3037,,,,1,1
3138,,,,1,1
3237,,,,1,1
3338,,,,1,1
