[camera]
# width=480
# height=640
# width=720
# height=1280
# width=1536
# height=1024
# width=640
# height=480
# fps=30

[detection]
tag_pixel_width = 100
widen_radius = 15

[arena]
nleds = 113#198
ring_r = 30 # in cm
origo_offset = [360, 360] # in pixels
cm_per_pixel = 0.1
baudrate = 115200#9600###921600#

[setup]
label = "One stationary sun"

    [[setup.suns]]
    link_factor = 0
    green = 255

[experiment]
datetime = 2023-12-10T12:52:22.167Z

ms,x,y,θ,start1,stop1
1231,,,,1,1
1235,,,,1,1
1257,,,,1,1
1266,,,,1,1
1266,,,,1,1
1296,,,,1,1
1354,,,,1,1
1396,,,,1,1
1493,,,,1,1
1594,,,,1,1
1718,,,,1,1
1795,,,,1,1
1895,,,,1,1
1992,,,,1,1
2095,,,,1,1
2194,,,,1,1
2295,,,,1,1
2396,,,,1,1
2499,,,,1,1
2611,,,,1,1
2696,,,,1,1
2771,,,,1,1
2897,,,,1,1
2994,,,,1,1
3176,377.7787207999114,553.2495960222559,0.8933600872520479,1,1
3176,368.50678939288065,558.7115926024859,1.1280438184712498,1,1
3250,364.9749956095695,557.5437948944411,1.4790109653083057,1,1
3351,366.48777067933355,558.5208068176929,1.5833036715882098,1,1
3452,368.9110421194713,559.8971575388439,1.6220366114378022,1,1
3563,372.2450614587297,562.4637051000976,1.6860735172374754,1,1
3652,376.16356578104643,563.0209314253575,1.883187525986353,1,1
3752,380.7875588015505,563.5365972284272,2.240316471702026,1,1
3852,384.0567573089035,563.5121232909065,2.5913675443603696,1,1
3951,389.3419914681572,561.9011867640027,2.9075650871686642,1,1
4051,392.7740387245264,557.7597847375743,3.0087571314078065,1,1
4151,394.43022248281284,555.5363220671627,-3.1319673660116316,1,1
4252,394.3723605435258,558.0136767926292,-2.674355295542925,1,1
4351,393.35462568464754,556.438022103278,-2.3278863204855225,1,1
4452,395.12319174246096,556.1068124460003,-2.059587718648171,1,1
4562,398.0028587918362,554.2014106215627,-2.159228197665324,1,1
4652,398.0239251300536,552.0434129767278,-2.7121650809921034,1,1
4752,399.110683574301,551.871948999878,-2.820114632369968,1,1
4852,403.1262989724288,552.1203597038244,3.0563403759941177,1,1
4951,406.8346423533462,553.150485805991,2.4953154989808,1,1
5052,407.55656428095017,554.871026555163,2.051982768503436,1,1
5151,410.1545864584026,553.070727874219,1.617452922363736,1,1
5252,,,,1,1
5352,,,,1,1
5452,,,,1,1
5563,,,,1,1
5654,,,,1,1
5755,,,,1,1
5856,,,,1,1
5957,,,,1,1
6058,,,,1,1
6159,,,,1,1
6261,,,,1,1
6362,,,,1,1
6463,,,,1,1
6568,,,,1,1
6665,,,,1,1
6767,,,,1,1
6869,,,,1,1
6971,,,,1,1
7071,,,,1,1
7173,,,,1,1
7274,,,,1,1
7376,,,,1,1
7479,,,,1,1
7582,,,,1,1
7679,,,,1,1
7782,,,,1,1
7884,,,,1,1
